city_id,description
2092098e-dae8-4b19-9899-8c83325352d8,Automated teller machines (ATM) 
2092098e-dae8-4b19-9899-8c83325352d8,"Banks, financial services  "
2092098e-dae8-4b19-9899-8c83325352d8,with walk up services 
2092098e-dae8-4b19-9899-8c83325352d8,Offices - administrative business professional 
2092098e-dae8-4b19-9899-8c83325352d8,Offices - government 
2092098e-dae8-4b19-9899-8c83325352d8,Offices - medical 
2092098e-dae8-4b19-9899-8c83325352d8,Work/live units 
2092098e-dae8-4b19-9899-8c83325352d8,Animal services - retail sales  
2092098e-dae8-4b19-9899-8c83325352d8,Bars or taverns  
2092098e-dae8-4b19-9899-8c83325352d8,with live entertainment 
2092098e-dae8-4b19-9899-8c83325352d8,Convenience stores 
2092098e-dae8-4b19-9899-8c83325352d8,Liquor stores  
2092098e-dae8-4b19-9899-8c83325352d8,Pawnshops 
2092098e-dae8-4b19-9899-8c83325352d8,Personal property sales
2092098e-dae8-4b19-9899-8c83325352d8,Restaurants  
2092098e-dae8-4b19-9899-8c83325352d8,"Restaurants, fast food  "
2092098e-dae8-4b19-9899-8c83325352d8,"Restaurants, formula fast food  "
2092098e-dae8-4b19-9899-8c83325352d8,Restaurants with limited live entertainment  
2092098e-dae8-4b19-9899-8c83325352d8,Restaurants with walk-up window 
2092098e-dae8-4b19-9899-8c83325352d8,Retail sales  
2092098e-dae8-4b19-9899-8c83325352d8,"Child day-care - Large care home, 9 to 14 persons"
2092098e-dae8-4b19-9899-8c83325352d8,"Child day-care - Small care home, 1 to 8 persons"
2092098e-dae8-4b19-9899-8c83325352d8,"Vehicle services - Washing/detailing, small-scale"
2092098e-dae8-4b19-9899-8c83325352d8,Colleges - nontraditional campus setting 
2092098e-dae8-4b19-9899-8c83325352d8,Significant tobacco retailers  
2092098e-dae8-4b19-9899-8c83325352d8,Vehicle services - sales and leasing - limited 
2092098e-dae8-4b19-9899-8c83325352d8,Ambulance services 
2092098e-dae8-4b19-9899-8c83325352d8,Animal services - grooming 
2092098e-dae8-4b19-9899-8c83325352d8,Catering services 
2092098e-dae8-4b19-9899-8c83325352d8,Laboratories 
2092098e-dae8-4b19-9899-8c83325352d8,Personal improvement services 
2092098e-dae8-4b19-9899-8c83325352d8,Personal services 
2092098e-dae8-4b19-9899-8c83325352d8,"Printing and publishing, limited "
2092098e-dae8-4b19-9899-8c83325352d8,Vehicle services - Vehicle/equipment repair
2092098e-dae8-4b19-9899-8c83325352d8,"Communications facility (4, 7, 8, 9)"
2092098e-dae8-4b19-9899-8c83325352d8,"Commercial off-street parking (7,9)"
2092098e-dae8-4b19-9899-8c83325352d8,Vehicles services - Washing and detailing
2092098e-dae8-4b19-9899-8c83325352d8,"Wholesaling, distribution and storage"
2092098e-dae8-4b19-9899-8c83325352d8,"Wholesaling, distribution and storage, small scale"
2092098e-dae8-4b19-9899-8c83325352d8,"Transit-oriented development (4, 7)"
2092098e-dae8-4b19-9899-8c83325352d8,"Residential care facilities, limited (5, 6)"
2092098e-dae8-4b19-9899-8c83325352d8,"Supportive housing (5, 6)"
2092098e-dae8-4b19-9899-8c83325352d8,"Transitional housing (5, 6)"
2092098e-dae8-4b19-9899-8c83325352d8,Commercial growing areas
2092098e-dae8-4b19-9899-8c83325352d8,Offices - Government
2092098e-dae8-4b19-9899-8c83325352d8,Restaurant with limited live entertainment
2092098e-dae8-4b19-9899-8c83325352d8,Restaurant with walk-up window
2092098e-dae8-4b19-9899-8c83325352d8,Commercial nursery
2092098e-dae8-4b19-9899-8c83325352d8,"Clubs, lodges, private meeting halls (4, 5)"
2092098e-dae8-4b19-9899-8c83325352d8,with walk-up service
2092098e-dae8-4b19-9899-8c83325352d8,"Charitable institution (2, 4)"
2092098e-dae8-4b19-9899-8c83325352d8,Personal services - Restricted
2092098e-dae8-4b19-9899-8c83325352d8,Commercial growing grounds
2092098e-dae8-4b19-9899-8c83325352d8,"Industry, restricted, small scale (3, 8)"
2092098e-dae8-4b19-9899-8c83325352d8,Research & development - Non-office
2092098e-dae8-4b19-9899-8c83325352d8,"Commercial off-street parking (2, 10)"
2092098e-dae8-4b19-9899-8c83325352d8,Multi-family housing (14)
2092098e-dae8-4b19-9899-8c83325352d8,"Residential care facilities, limited (14, 15)"
2092098e-dae8-4b19-9899-8c83325352d8,Single-family housing (15)
2092098e-dae8-4b19-9899-8c83325352d8,"Supportive housing (14, 15)"
2092098e-dae8-4b19-9899-8c83325352d8,Vehicle services - Automobile rental (3)
2092098e-dae8-4b19-9899-8c83325352d8,"Vehicle services - Service stations (3, 7)"
2092098e-dae8-4b19-9899-8c83325352d8,"Industry, restricted (3, 8)"
2092098e-dae8-4b19-9899-8c83325352d8,"Wholesaling, distribution, & storage (3)"
2092098e-dae8-4b19-9899-8c83325352d8,"Communications facility (2, 3, 9, 10)"
